말id	전체 경기	통계1	통계2	통계3	통계4	통계5	승률	복승률	연승률
004046	48	1	5	2	2	5	2.1 	12.5 	16.7 
004838	13	6	2	0	0	1	46.2 	61.5 	61.5 
002889	57	7	8	7	6	8	12.3 	26.3 	38.6 
004039	31	6	3	5	7	5	19.4 	29.0 	45.2 
004459	19	0	1	1	3	2	0.0 	5.3 	10.5 
004881	11	1	1	0	1	1	9.1 	18.2 	18.2 
003973	31	3	3	4	6	1	9.7 	19.4 	32.3 
002197	113	21	10	11	9	15	18.6 	27.4 	37.2 
004044	43	4	9	8	5	4	9.3 	30.2 	48.8 
005628	1	0	0	0	0	0	0.0 	0.0 	0.0 
005259	9	1	0	0	0	0	11.1 	11.1 	11.1 
005723	1	0	0	0	0	0	0.0 	0.0 	0.0 
004752	12	3	1	1	2	0	25.0 	33.3 	41.7 
003934	38	5	4	3	3	5	13.2 	23.7 	31.6 
004336	19	6	1	2	4	1	31.6 	36.8 	47.4 
005485	1	0	0	0	0	0	0.0 	0.0 	0.0 
003754	35	2	3	2	1	1	5.7 	14.3 	20.0 
004854	13	1	0	2	0	4	7.7 	7.7 	23.1 
005295	39	4	7	5	4	5	10.3 	28.2 	41.0 
004947	14	4	2	0	1	2	28.6 	42.9 	42.9 
004119	24	5	3	1	1	0	20.8 	33.3 	37.5 
003551	48	6	5	9	5	9	12.5 	22.9 	41.7 
003203	39	4	6	9	2	9	10.3 	25.6 	48.7 
005114	11	2	2	2	1	2	18.2 	36.4 	54.5 
005125	10	5	0	1	1	1	50.0 	50.0 	60.0 
004297	22	5	5	2	4	2	22.7 	45.5 	54.5 
004367	10	0	1	0	0	2	0.0 	10.0 	10.0 
005312	3	1	1	1	0	0	33.3 	66.7 	100.0 
005300	3	0	0	0	1	1	0.0 	0.0 	0.0 
005744	1	0	0	0	0	1	0.0 	0.0 	0.0 
004922	11	5	1	1	0	0	45.5 	54.5 	63.6 
005156	8	3	2	0	0	0	37.5 	62.5 	62.5 
004241	26	1	2	1	1	4	3.8 	11.5 	15.4 
004395	27	1	1	1	1	1	3.7 	7.4 	11.1 
004436	18	3	1	0	5	0	16.7 	22.2 	22.2 
002182	97	15	12	14	9	13	15.5 	27.8 	42.3 
003758	38	4	1	7	2	6	10.5 	13.2 	31.6 
003999	44	3	2	3	5	5	6.8 	11.4 	18.2 
004561	26	1	1	0	3	2	3.8 	7.7 	7.7 
004895	12	2	0	0	0	1	16.7 	16.7 	16.7 
004813	23	2	1	2	1	3	8.7	13.0	21.7
005530	1	0	0	0	0	0	0.0 	0.0 	0.0 
005205	3	0	0	1	1	0	0.0 	0.0 	33.3 
004861	15	1	1	2	1	0	6.7 	13.3 	26.7 
002969	73	8	9	7	3	8	11.0 	23.3 	32.9 
003374	51	5	6	5	7	6	9.8 	21.6 	31.4 
002715	70	10	10	10	2	7	14.3 	28.6 	42.9 
